row	title
546	The Stupids
547	The Arrival
548	The Man from Down Under
549	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
550	Gold Diggers: The Secret of Bear Mountain
551	Kim
552	Maya Lin: A Strong Clear Vision
553	The Phantom
554	Striptease
555	The Last of the High Kings
556	Jack
557	I Shot Andy Warhol
558	The Grass Harp
559	Someone Else's America
560	Touki Bouki
561	Spirits of the Dead
562	Babyfever
563	Trainspotting
564	Independence Day
565	Stealing Beauty
566	The Fan
567	The Cable Guy
568	Kingpin
569	Eraser
570	The Nutty Professor
571	Daylight
572	The Frighteners
573	Lone Star
574	Harriet the Spy
575	Phenomenon
576	Walking and Talking
577	She's the One
578	A Time to Kill
579	American Buffalo
580	Alaska
581	Fled
582	Kazaam
583	Magic Hunter
584	Larger Than Life
585	Two Deaths
586	A Very Brady Sequel
587	Death in the Garden
588	The Adventures of Pinocchio
589	Joe's Apartment
590	The First Wives Club
591	Stonewall
592	Ransom
593	High School High
594	Phat Beach
595	Foxfire
596	Chain Reaction
597	Matilda
598	Emma
599	The Crow: City of Angels
600	House Arrest
601	The Spitfire Grill
602	Escape from L.A.
603	Basquiat
604	Tin Cup
605	Dingo
606	The Godfather
607	Police Story 3: Supercop
608	Small Faces
609	Bound
610	Carpool
611	Death in Brunswick
612	Kansas City
613	Gone Fishin'
614	Killer: A Journal of Murder
615	Nothing to Lose
616	Project S
617	The Relic
618	The Island of Dr. Moreau
619	First Kid
620	The Trigger Effect
621	Bogus
622	Bulletproof
623	Halloween: The Curse of Michael Myers
624	Mother Night
625	For Whom the Bell Tolls
626	The Philadelphia Story
627	Singin' in the Rain
628	An American in Paris
629	Funny Face
630	Breakfast at Tiffany's
631	Vertigo
632	Rear Window
633	It Happened One Night
634	Gaslight
635	The Gay Divorcee
636	North by Northwest
637	The Apartment
638	Some Like It Hot
639	Charade
640	Casablanca
641	The Maltese Falcon
642	My Fair Lady
643	Sabrina
644	Roman Holiday
645	The Little Princess
646	Meet Me in St. Louis
647	The Wizard of Oz
648	Gone with the Wind
649	Sunset Boulevard
650	Citizen Kane
651	2001: A Space Odyssey
652	Golden Earrings
653	All About Eve
654	The Women
655	Rebecca
656	Foreign Correspondent
657	Notorious
658	Spellbound
659	An Affair to Remember
660	To Catch a Thief
661	Father of the Bride
662	The Band Wagon
663	Ninotchka
664	Love in the Afternoon
665	Gigi
666	The Reluctant Debutante
667	The Adventures of Robin Hood
668	Laura
669	The Ghost and Mrs. Muir
670	Lost Horizon
671	Top Hat
672	Giant
673	East of Eden
674	The Thin Man
675	His Girl Friday
676	Around the World in Eighty Days
677	It's a Wonderful Life
678	Mr. Smith Goes to Washington
679	Bringing Up Baby
680	Penny Serenade
681	Lady of Burlesque
682	Of Human Bondage
683	Angel on My Shoulder
684	They Made Me a Criminal
685	The Inspector General
686	Angel and the Badman
687	The 39 Steps
688	A Walk in the Sun
689	The Outlaw
690	Night of the Living Dead
691	The African Queen
692	Beat the Devil
693	Cat on a Hot Tin Roof
694	The Last Time I Saw Paris
695	Meet John Doe
696	Algiers
697	A Farewell to Arms
698	Dangerous Ground
699	Picnic
700	The Pompatus of Love
701	Small Wonders
702	Bliss
703	Grace of My Heart
704	Maximum Risk
705	Michael Collins
706	The Rich Man's Wife
707	Big Night
708	Last Man Standing
709	Set It Off
710	2 Days in the Valley
711	Ed's Next Move
712	Extreme Measures
713	The Glimmer Man
714	D3: The Mighty Ducks
715	The Apple Dumpling Gang
716	Davy Crockett, King of the Wild Frontier
717	Escape to Witch Mountain
718	The Love Bug
719	Herbie Rides Again
720	Old Yeller
721	Pollyanna
722	The Shaggy Dog
723	Swiss Family Robinson
724	That Darn Cat!
725	20,000 Leagues Under the Sea
726	Cool Runnings
727	Angels in the Outfield
728	Cinderella
729	The Sword in the Stone
730	Robin Hood: Prince of Thieves
731	Mary Poppins
732	Dumbo
733	Pete's Dragon
734	Bedknobs and Broomsticks
735	Alice in Wonderland
736	The Fox and the Hound
737	Freeway
738	The Sound of Music
739	Die Hard
740	The Lawnmower Man
741	Unhook the Stars
742	Synthetic Pleasures
743	That Thing You Do!
744	To Gillian on Her 37th Birthday
745	Surviving Picasso
746	Love Is All There Is
747	The Long Kiss Goodnight
748	The Ghost and the Darkness
749	Looking for Richard
750	Normal Life
751	Get on the Bus
752	Jude
753	Bitter Sugar
754	Romeo + Juliet
755	Swingers
756	Sleepers
757	The Sunchaser
758	Aladdin and the King of Thieves
759	Shall We Dance
760	Crossfire
761	Murder, My Sweet
762	Macao
763	For the Moment
764	Willy Wonka & the Chocolate Factory
765	The Innocents
766	Sleeper
767	A Fish Called Wanda
768	Life of Brian
769	Victor/Victoria
770	The Candidate
771	The Great Race
772	Bonnie and Clyde
773	The Old Man and the Sea
774	Dial M for Murder
775	Dirty Dancing
776	Reservoir Dogs
777	Platoon
778	Weekend at Bernie's
779	Basic Instinct
780	The Doors
781	The Crying Game
782	Glengarry Glen Ross
783	E.T. the Extra-Terrestrial
784	A Christmas Carol
785	Days of Thunder
786	Top Gun
787	American Strays
788	Rebel Without a Cause
789	A Streetcar Named Desire
790	Children of the Corn IV: The Gathering
791	Palookaville
792	The Associate
793	The Funeral
794	North Star
795	Drunks
796	The People vs. Larry Flynt
797	Glory Daze
798	A Perfect Candidate
799	On Golden Pond
800	Drop Dead Fred
801	The Abyss
802	The Fog
803	Escape from New York
804	The Howling
805	Monty Python and the Holy Grail
806	Hustler White
807	Snowriders
808	When We Were Kings
809	The Wrong Trousers
810	He Walked by Night
811	Raw Deal
812	T-Men
813	The Tin Drum
814	The Bloody Child
815	Dear God
816	Bad Moon
817	American Dream
818	Bob Roberts
819	Cinema Paradiso
820	The Cook, the Thief, His Wife & Her Lover
821	Delicatessen
822	The Double Life of Veronique
823	Enchanted April
824	Paths of Glory
825	The Grifters
826	Hear My Song
827	The English Patient
828	Mediterraneo
829	My Left Foot: The Story of Christy Brown
830	Strictly Ballroom
831	The Thin Blue Line
832	Tie Me Up! Tie Me Down!
833	Paris is Burning
834	One Flew Over the Cuckoo's Nest
835	Up in Smoke
836	The Empire Strikes Back
837	The Princess Bride
838	Raiders of the Lost Ark
839	Brazil
840	Aliens
841	The Good, the Bad and the Ugly
842	Withnail & I
843	12 Angry Men
844	A Clockwork Orange
845	Apocalypse Now
846	Once Upon a Time in the West
847	Return of the Jedi
848	Wings of Desire
849	The Third Man
850	GoodFellas
851	Alien
852	Army of Darkness
853	The Big Blue
854	Ran
855	The Killer
856	Psycho
857	The Blues Brothers
858	The Godfather: Part II
859	Full Metal Jacket
860	Henry V
861	Amadeus
862	The Quiet Man
863	Once Upon a Time in America
864	Annie Hall
865	The Right Stuff
866	Das Boot
867	The Sting
868	Harold and Maude
869	Trust
870	The Terminator
871	Braindead
872	Glory
873	Manhattan
874	Miller's Crossing
875	Dead Poets Society
876	The Graduate
877	Touch of Evil
878	La Femme Nikita
879	The Bridge on the River Kwai
880	8½
881	Chinatown
882	The Day the Earth Stood Still
883	The Treasure of the Sierra Madre
884	Duck Soup
885	Better Off Dead...
886	The Shining
887	Stand by Me
888	Evil Dead II
889	The Great Escape
890	The Deer Hunter
891	Groundhog Day
892	Unforgiven
893	The Manchurian Candidate
894	Pump up the Volume
895	Arsenic and Old Lace
896	Back to the Future
897	Fried Green Tomatoes
898	Patton
899	Down by Law
900	Akira
901	Highlander
902	Cool Hand Luke
903	Young Frankenstein
904	Night on Earth
905	The Great Dictator
906	Fantasia
907	High Noon
908	The Big Sleep
909	Heathers
910	Somewhere in Time
911	Ben-Hur
912	This Is Spinal Tap
913	Koyaanisqatsi
914	Some Kind of Wonderful
915	Indiana Jones and the Last Crusade
916	Being There
917	Gandhi
918	The Unbearable Lightness of Being
919	Real Genius
920	Pink Floyd: The Wall
921	The Killing Fields
922	Forbidden Planet
923	Field of Dreams
924	The Man Who Would Be King
925	Butch Cassidy and the Sundance Kid
926	Paris, Texas
927	Until the End of the World
928	When Harry Met Sally...
929	Santa with Muscles
930	Female Perversions
931	Breathing Room
932	Blue Juice
933	Alien³
934	An American Werewolf in London
935	Amityville: It's About Time
936	Amityville 3-D
937	Amityville: Dollhouse
938	Amityville: A New Generation
939	Amityville II: The Possession
940	The Amityville Horror
941	The Amityville Curse
942	Blood for Dracula
943	April Fool's Day
944	Audrey Rose
945	The Believers
946	The Birds
947	The Blob
948	Blood Beach
949	Body Parts
950	The Body Snatcher
951	Dracula
952	Bride of Frankenstein
953	Burnt Offerings
954	Candyman
955	Cape Fear
956	Cape Fear
957	Carrie
958	Cat People
959	A Nightmare on Elm Street
960	Nosferatu
961	The Omen
962	Blood and Wine
963	Albino Alligator
964	The Mirror Has Two Faces
965	Breaking the Waves
966	Star Trek: First Contact
967	Shine
968	Sling Blade
969	Jingle All the Way
970	Paradise Lost: The Child Murders at Robin Hood Hills
971	The Preacher's Wife
972	The Crucible
973	101 Dalmatians
974	Die Hard 2
975	Star Trek: The Motion Picture
976	Star Trek VI: The Undiscovered Country
977	Star Trek V: The Final Frontier
978	Star Trek II: The Wrath of Khan
979	Star Trek III: The Search for Spock
980	Star Trek IV: The Voyage Home
981	Batman Returns
982	Young Guns
983	Young Guns II
984	Grease
985	Grease 2
986	Marked for Death
987	Adrenalin: Fear the Rush
988	Under Siege
989	Terror in a Texas Town
990	Jaws
991	Jaws 2
992	Jaws 3-D
993	My Fellow Americans
994	Mars Attacks!
995	Citizen Ruth
996	Jerry Maguire
997	Raising Arizona
998	Tin Men
999	Sneakers
1000	In Love and War
1001	Marvin's Room
1002	Somebody Is Waiting
1003	Ghosts of Mississippi
1004	Night Falls on Manhattan
1005	Beavis and Butt-Head Do America
1006	Scream
1007	The Last of the Mohicans
1008	Michael
1009	The Evening Star
1010	Some Mother's Son
1011	Mother
1012	Evita
1013	The Portrait of a Lady
1014	Walkabout
1015	Murder at 1600
1016	Fierce Creatures
1017	Turbulence
1018	Angel Baby
1019	First Strike
1020	Underworld
1021	Beverly Hills Ninja
1022	Metro
1023	The Cement Garden
1024	Dante's Peak
1025	Amos & Andrew
1026	Benny & Joon
1027	Prefontaine
1028	McHale's Navy
1029	Gridlock'd
1030	Waiting for Guffman
1031	Prisoner of the Mountains
1032	The Beautician and the Beast
1033	Hotel de Love
1034	The Pest
1035	Fools Rush In
1036	Touch
1037	Absolute Power
1038	That Darn Cat
1039	Vegas Vacation
1040	That Old Feeling
1041	Rosewood
1042	Donnie Brasco
1043	Booty Call
1044	City of Industry
1045	Best Men
1046	Jungle 2 Jungle
1047	Private Parts
1048	Love Jones
1049	The Saint
1050	Smilla's Sense of Snow
1051	The Van
1052	Crash
1053	The Daytrippers
1054	Liar Liar
1055	The Quiet Room
1056	Selena
1057	The Devil's Own
1058	Cats Don't Dance
1059	B.A.P.S.
1060	Turbo: A Power Rangers Movie
1061	Anna Karenina
1062	Double Team
1063	Inventing the Abbotts
1064	Anaconda
1065	Grosse Pointe Blank
1066	Keys to Tulsa
1067	Kissed
1068	8 Heads in a Duffel Bag
1069	Hollow Reed
1070	Traveller
1071	Romy and Michele's High School Reunion
1072	Volcano
1073	Children of the Revolution
1074	Austin Powers: International Man of Mystery
1075	Breakdown
1076	Broken English
1077	Commandments
1078	Ripe
1079	Truth or Consequences, N.M.
1080	Warriors of Virtue
1081	The Fifth Element
1082	Nowhere
1083	Losing Chase
1084	Sprung
1085	The Promise
1086	Le Bonheur
1087	Love! Valour! Compassion!
1088	Addicted to Love
1089	The Lost World: Jurassic Park
1090	Shiloh
1091	The War at Home
1092	Rough Magic
1093	Buddy
1094	Con Air
1095	Speed 2: Cruise Control
1096	Batman & Robin
1097	Dream with the Fishes
1098	Roseanna's Grave
1099	Head Above Water
1100	Hercules
1101	The Last Time I Committed Suicide
1102	My Best Friend's Wedding
1103	When the Cat's Away
1104	Contempt
1105	Face/Off
1106	Fall
1107	Men in Black
1108	Out to Sea
1109	Wild America
1110	A Simple Wish
1111	Contact
1112	Love Serenade
1113	G.I. Jane
1114	Conan the Barbarian
1115	George of the Jungle
1116	Cop Land
1117	Event Horizon
1118	Spawn
1119	Air Bud
1120	Picture Perfect
1121	In the Company of Men
1122	Free Willy 3: The Rescue
1123	Career Girls
1124	Conspiracy Theory
1125	Desperate Measures
1126	Steel
1127	She's So Lovely
1128	Hoodlum
1129	Leave it to Beaver
1130	Mimic
1131	Money Talks
1132	Excess Baggage
1133	Kull the Conqueror
1134	Air Force One
1135	One Eight Seven
1136	The Hunt for Red October
1137	My Own Private Idaho
1138	Star Maps
1139	In & Out
1140	The Edge
1141	The Peacemaker
1142	L.A. Confidential
1143	Seven Years in Tibet
1144	Kiss the Girls
1145	Soul Food
1146	Kicked in the Head
1147	Wishmaster
1148	A Thousand Acres
1149	The Game
1150	Fire Down Below
1151	U Turn
1152	The Matchmaker
1153	A Smile Like Yours
1154	The Ice Storm
1155	Stag
1156	Chasing Amy
1157	The Full Monty
1158	Alive and Kicking
1159	Mrs Brown
1160	I Know What You Did Last Summer
1161	The Devil's Advocate
1162	RocketMan
1163	Playing God
1164	Washington Square
1165	Telling Lies In America
1166	Gattaca
1167	FairyTale: A True Story
1168	Phantoms
1169	Wonderland
1170	A Life Less Ordinary
1171	Hurricane Streets
1172	Eve's Bayou
1173	Switchback
1174	Gang Related
1175	Stripes
1176	Bean
1177	Hugo Pool
1178	Mad City
1179	One Night Stand
1180	Welcome to Sarajevo
1181	Deceiver
1182	The Rainmaker
1183	Boogie Nights
1184	Witness
1185	Incognito
1186	Starship Troopers
1187	The Joy Luck Club
1188	Chairman of the Board
1189	Sliding Doors
1190	Mortal Kombat: Annihilation
1191	The Truman Show
1192	The Wings of the Dove
1193	Red Corner
1194	The Jackal
1195	Anastasia
1196	The Man Who Knew Too Little
1197	Alien: Resurrection
1198	Alien Escape
1199	Amistad
1200	The Apostle
1201	Artemisia
1202	The Boys
1203	Deconstructing Harry
1204	Flubber
1205	Good Will Hunting
1206	Home Alone 3
1207	MouseHunt
1208	Office Killer
1209	Scream 2
1210	Stranger in the House
1211	The Sweet Hereafter
1212	Time Tracers
1213	Titanic
1214	Tomorrow Never Dies
1215	Twisted
1216	The Education of Little Tree
1217	The Postman
1218	Jackie Brown
1219	Mr. Magoo
1220	The Big Lebowski
1221	My Life in Pink
1222	Great Expectations
1223	3 Ninjas: High Noon at Mega Mountain
1224	Firestorm
1225	Senseless
1226	Wag the Dog
1227	Dark City
1228	The Leading Man
1229	Star Kid
1230	Hard Rain
1231	Half Baked
1232	Fallen
1233	Shooting Fish
1234	The Prophecy II
1235	Four Days in September
1236	Spice World
1237	Deep Rising
1238	A Letter from Death Row
1239	Music from Another Room
1240	The Replacement Killers
1241	B. Monkey
1242	The Night Flier
1243	The Wedding Singer
1244	Sphere
1245	Ayn Rand: A Sense of Life
1246	Little City
1247	Palmetto
1248	As Good as It Gets
1249	King of New York
1250	Twilight
1251	U.S. Marshals
1252	Welcome to Woop Woop
1253	Midaq Alley
1254	In God's Hands
1255	Everest
1256	Hush
1257	The Man in the Iron Mask
1258	The Newton Boys
1259	Wild Things
1260	Paulie
1261	A Cool, Dry Place
1262	Primary Colors
1263	Niagara, Niagara
1264	Wide Awake
1265	Two Girls and a Guy
1266	No Looking Back
1267	The Proposition
1268	The Object of My Affection
1269	Meet the Deedles
1270	The Players Club
1271	Lost in Space
1272	Heaven's Burning
1273	Mercury Rising
1274	The Spanish Prisoner
1275	City of Angels
1276	The Last Days of Disco
1277	The Odd Couple II
1278	My Giant
1279	He Got Game
1280	Slappy and the Stinkers
1281	Live Flesh
1282	Zero Effect
1283	The Borrowers
1284	Prince Valiant
1285	I Love You, Don't Touch Me!
1286	Krippendorf's Tribe
1287	The Real Blonde
1288	Mr. Nice Guy
1289	Taste of Cherry
1290	Species II
1291	Major League: Back to the Minors
1292	Sour Grapes
1293	The Big Hit
1294	Black Dog
1295	Dancer, Texas Pop. 81
1296	Les Misérables
1297	Still Breathing
1298	Deep Impact
1299	Woo
1300	Lawn Dogs
1301	Quest for Camelot
1302	Godzilla
1303	Bulworth
1304	Fear and Loathing in Las Vegas
1305	The Opposite of Sex
1306	I Got the Hook Up
1307	Almost Heroes
1308	Hope Floats
1309	Insomnia
1310	The Ugly
1311	A Perfect Murder
1312	Beyond Silence
1313	Six Days Seven Nights
1314	Can't Hardly Wait
1315	Cousin Bette
1316	High Art
1317	The Land Girls
1318	Passion in the Desert
1319	Children of Heaven
1320	Dream for an Insomniac
1321	Marie from the Bay of Angels
1322	Mulan
1323	Resurrection Man
1324	The X Files
1325	I Went Down
1326	Doctor Dolittle
1327	Out of Sight
1328	Picnic at Hanging Rock
1329	Buffalo '66
1330	Armageddon
1331	Lethal Weapon 4
